ZUGER KB N (Zuger Kantonalbank/CH0493891243/CHF)		
        30.04.2026
        Time;Price;Volume
17:31:54.00;11600;13
17:19:47.04;11550;1
17:00:47.42;11500;2
16:11:46.80;11500;2
16:07:45.36;11550;1
16:06:15.87;11500;2
16:04:41.55;11500;1
16:04:23.37;11350;2
16:04:23.37;11400;2
15:50:58.51;11450;2
14:50:50.49;11550;1
14:46:07.88;11450;1
14:40:38.29;11550;10
14:39:41.10;11500;21
14:39:41.10;11450;5
14:39:41.10;11400;4
12:42:04.69;11300;2
12:35:11.28;11400;1
12:15:53.09;11300;2
11:57:10.27;11350;7
11:21:25.89;11400;2
10:59:50.09;11400;1
09:51:28.10;11500;3
09:00:02.00;11500;4
